,home_team,away_team,ht_vegas_line,model_pred,ht_pts_diff
0,buf,tam,-10.0,12.20840936009333,6
1,oti,atl,3.0,2.8633273893736595,2
2,car,htx,3.0,-5.281500716555412,23
3,pit,jax,3.0,1.5583335579077917,-14
4,gnb,min,0.0,0.8196662681920381,5
5,clt,nor,0.0,1.994342839670979,-11
6,mia,nwe,-9.0,7.954786372380543,-10
7,nyg,nyj,3.0,-5.435507287921659,14
8,was,phi,7.0,-4.1826834486470865,-3
9,dal,ram,-7.0,3.434855407577991,-7
10,sea,cle,-4.0,5.229015953010678,4
11,sfo,cin,-3.0,10.657673355841942,-14
12,den,kan,7.0,-9.6575677271134,-7
13,crd,rav,9.0,-4.44345991355752,15
14,sdg,chi,-9.0,0.1444099260984295,17
15,det,rai,-9.0,5.577587988417102,12
